HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Arsenal,Chelsea,3,0,2.0,2.0,0,4,5,-1,0.6,0.6,0.6,0.6,0.2,0.2,2.4,2.0,1.4,1.2,1.0,0.8,14.6,18.2,5.4,6.2,11.0,7.6,4.2,2.4,3,1,7,10,2.0,1.6,2.0,1.2,10.4,16.4,10.8,4.8,2.8,4.4,4.8,1.6,1.2,1.6,0.4,0.4,0.0,0.4,0.4,0.0,1.5,1.34
Bournemouth,Everton,1,0,0.8,2.6,-9,17,2,15,0.2,0.8,0.2,0.8,0.6,0.0,0.6,2.0,1.8,0.6,-1.2,1.4,9.0,15.4,3.6,7.4,16.4,10.0,5.6,2.2,3,3,4,10,0.8,2.0,1.2,0.4,8.4,13.2,9.2,8.8,3.2,6.4,3.6,2.4,1.2,2.4,0.4,0.8,0.0,0.0,0.4,0.0,1.5294117647058822,1.3137254901960784
Liverpool,Hull,5,1,2.0,1.4,3,6,12,-6,0.6,0.4,0.6,0.4,0.2,0.4,2.2,1.2,1.6,1.4,0.6,-0.2,17.0,10.2,6.2,3.2,9.4,19.4,3.6,5.6,3,1,7,7,1.6,1.2,0.4,0.4,6.8,9.2,4.8,10.4,4.4,2.8,1.2,2.0,1.2,1.6,0.4,0.4,0.0,0.4,0.0,0.0,1.5192307692307692,1.2884615384615385
Man United,Leicester,4,1,1.8,1.4,2,7,11,-4,0.6,0.4,0.6,0.4,0.4,0.4,1.6,1.4,1.2,1.4,0.4,0.0,16.2,13.0,5.2,4.2,11.6,12.0,3.4,5.0,0,0,9,4,1.2,0.8,0.8,2.4,10.4,12.0,12.4,12.4,3.2,3.2,2.8,6.4,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.5849056603773586,1.2830188679245282
Middlesbrough,Tottenham,1,2,1.0,2.2,-6,13,3,10,0.2,0.6,0.2,0.6,0.4,0.0,1.0,1.6,1.4,0.4,-0.4,1.2,9.2,19.0,2.2,6.0,13.2,11.2,3.6,3.0,0,3,5,8,0.8,2.0,1.2,0.4,9.6,13.2,9.6,10.8,2.4,4.8,2.0,3.2,0.4,1.6,0.0,0.4,0.4,0.4,0.4,0.0,1.6296296296296295,1.2777777777777777
Stoke,West Brom,1,1,0.2,1.4,-6,20,10,10,0.0,0.4,0.0,0.4,0.8,0.4,0.6,1.2,2.8,1.0,-2.2,0.2,10.8,11.4,2.2,3.4,15.8,13.8,6.6,4.6,0,0,1,4,0.4,0.4,3.2,0.4,9.2,10.0,12.8,10.4,2.0,2.0,5.6,3.6,0.0,1.2,0.0,0.4,0.0,0.0,0.8,0.4,1.6181818181818182,1.290909090909091
Sunderland,Crystal Palace,2,3,0.2,1.4,-6,19,8,11,0.0,0.4,0.0,0.4,0.8,0.4,0.6,1.4,1.8,1.0,-1.2,0.4,9.4,14.8,2.8,4.6,18.2,13.2,6.4,3.8,0,3,1,4,0.4,0.8,2.0,0.8,11.6,8.8,11.2,12.8,2.8,2.4,4.8,3.6,0.0,1.2,0.0,0.4,0.0,0.0,0.8,0.4,1.6071428571428572,1.2857142857142858
Swansea,Man City,1,3,0.8,3.0,-11,15,1,14,0.2,1.0,0.2,1.0,0.6,0.0,0.8,3.0,1.4,0.8,-0.6,2.2,10.8,17.6,4.0,6.6,16.4,8.8,5.2,2.6,1,3,4,12,0.8,2.4,1.6,0.8,7.6,12.0,16.0,8.8,2.0,4.8,4.4,2.4,0.4,2.4,0.0,0.8,0.4,0.0,0.4,0.0,1.6140350877192982,1.3157894736842106
West Ham,Southampton,0,3,0.6,1.0,-2,18,14,4,0.2,0.2,0.2,0.2,0.8,0.4,1.4,0.8,2.6,1.2,-1.2,-0.4,14.6,16.6,3.2,5.0,13.4,9.6,6.0,2.6,0,0,3,2,1.2,0.4,1.6,1.6,13.6,9.6,8.4,11.6,2.4,2.4,5.2,2.8,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.603448275862069,1.3448275862068966
Burnley,Watford,2,0,0.8,1.4,-3,16,9,7,0.2,0.4,0.2,0.4,0.6,0.4,0.6,2.0,1.6,1.8,-1.0,0.2,7.8,9.6,1.8,4.4,18.0,16.2,6.6,4.6,1,3,4,4,1.2,2.0,0.8,1.2,10.4,7.2,21.6,17.2,2.8,3.6,6.8,4.0,1.6,1.6,0.4,0.4,0.4,0.4,0.4,0.0,1.576271186440678,1.3728813559322033
Everton,Crystal Palace,1,1,2.1666666666666665,1.6666666666666667,3,5,7,-2,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.1666666666666667,1.0,0.5,15.0,15.666666666666666,6.5,4.5,10.333333333333334,12.833333333333334,2.0,3.8333333333333335,3,3,13,7,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,14.666666666666666,14.0,9.333333333333334,14.333333333333334,7.0,3.3333333333333335,1.6666666666666667,4.333333333333333,2.3333333333333335,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,1.5833333333333333,1.35
