HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Chelsea,Man City,0,1,2.6,2.0,3,1,5,-4,0.8,0.6,0.8,0.6,0.0,0.2,2.4,2.2,0.2,0.2,2.2,2.0,14.6,20.4,5.6,5.4,12.0,6.2,3.8,1.2,3,3,10,9,2.4,0.4,0.0,0.4,10.0,17.2,8.8,7.6,4.0,4.8,2.8,1.6,2.4,1.2,0.8,0.4,0.0,0.0,0.0,0.4,1.56,1.08
Man United,Aston Villa,0,1,2.6,1.4,6,3,10,-7,0.8,0.4,0.8,0.4,0.0,0.4,2.6,1.6,0.8,1.4,1.8,0.2,15.8,12.2,6.4,3.6,11.6,10.8,3.8,3.0,3,0,10,4,3.6,0.8,0.8,2.4,14.8,11.6,8.8,10.0,6.0,3.2,2.4,4.4,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.5294117647058822,1.0784313725490196
Everton,Norwich,2,0,2.0,0.0,10,6,20,-14,0.6,0.0,0.6,0.0,0.2,1.0,2.0,0.4,1.4,2.8,0.6,-2.4,14.0,10.2,5.2,2.6,12.6,17.2,3.8,6.0,3,0,10,0,2.4,0.0,0.8,2.4,11.2,4.4,6.8,18.4,4.8,0.4,3.6,4.4,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.5,1.0769230769230769
Leeds,West Ham,1,2,0.6,1.6,-5,17,8,9,0.0,0.4,0.0,0.4,0.4,0.2,1.0,2.2,2.4,1.4,-1.4,0.8,14.0,12.2,4.4,5.4,18.4,11.8,7.0,3.8,0,1,2,8,0.8,1.6,2.0,0.8,10.4,8.4,18.8,11.2,3.2,4.8,6.8,2.4,0.4,1.6,0.0,0.4,0.4,0.4,0.4,0.0,1.509433962264151,1.0566037735849056
Leicester,Burnley,2,2,1.2,0.2,5,12,19,-7,0.4,0.0,0.4,0.0,0.6,0.8,1.0,0.6,1.6,1.8,-0.6,-1.2,8.6,12.8,2.6,3.6,16.2,16.0,5.4,5.6,0,0,6,1,0.4,0.4,0.4,2.0,6.0,8.0,16.8,16.4,2.4,3.6,4.4,6.0,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.5,1.0740740740740742
Watford,Newcastle,1,1,1.2,0.4,4,11,18,-7,0.4,0.0,0.4,0.0,0.6,0.6,1.2,1.2,1.6,2.6,-0.4,-1.4,10.0,13.0,4.0,3.8,13.0,16.6,4.6,6.6,0,0,3,1,1.2,0.4,1.6,2.4,7.6,8.4,10.0,12.4,3.6,1.6,2.8,3.6,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.509090909090909,1.0909090909090908
Brentford,Liverpool,3,3,1.6,2.6,-5,9,2,7,0.4,0.8,0.4,0.8,0.2,0.0,1.0,2.4,0.4,0.2,0.6,2.2,9.4,25.0,2.4,8.6,10.2,10.2,2.6,3.0,0,3,5,10,0.8,2.4,0.4,0.0,6.0,19.6,10.4,9.2,1.6,6.8,2.4,2.8,1.2,2.4,0.4,0.8,0.0,0.0,0.4,0.0,1.5,1.0892857142857142
Southampton,Wolves,0,1,0.8,0.6,1,15,16,-1,0.0,0.2,0.0,0.2,0.2,0.8,0.8,0.4,1.2,1.0,-0.4,-0.6,11.4,16.4,3.4,4.0,14.0,8.4,3.8,3.8,1,3,3,3,0.4,0.8,0.4,0.4,7.6,12.4,11.2,6.0,2.4,3.2,2.8,2.8,0.8,1.2,0.0,0.4,0.8,0.0,0.0,0.4,1.5263157894736843,1.1228070175438596
Arsenal,Tottenham,3,1,1.2,1.8,-3,13,7,6,0.4,0.6,0.4,0.6,0.6,0.4,0.4,0.6,1.8,1.2,-1.4,-0.6,14.4,9.2,3.4,4.0,16.6,18.0,4.4,5.2,3,0,3,9,0.4,0.4,0.8,1.2,14.4,4.0,12.8,17.2,4.0,2.8,2.4,4.0,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.5,1.1206896551724137
Crystal Palace,Brighton,1,1,1.0,2.4,-7,14,4,10,0.2,0.8,0.2,0.8,0.4,0.2,1.0,1.4,1.6,0.8,-0.6,0.6,10.2,11.4,2.2,4.2,13.6,11.8,4.8,2.6,3,3,5,9,1.2,1.2,0.0,0.4,10.0,7.2,6.4,8.4,2.4,4.0,1.6,1.6,1.6,2.4,0.4,0.8,0.4,0.0,0.0,0.0,1.5254237288135593,1.11864406779661
Man United,Everton,1,1,2.1666666666666665,2.1666666666666665,0,4,5,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.1666666666666665,2.0,0.8333333333333334,1.1666666666666667,1.3333333333333333,0.8333333333333334,17.833333333333332,13.5,6.0,5.0,10.833333333333334,12.166666666666666,3.6666666666666665,3.5,3,0,13,10,3.0,1.3333333333333333,1.0,1.6666666666666667,21.666666666666668,14.0,9.666666666666666,15.333333333333334,6.333333333333333,4.666666666666667,3.0,3.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5166666666666666,1.1166666666666667
Burnley,Norwich,0,0,0.3333333333333333,0.0,2,19,20,-1,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.8333333333333334,0.3333333333333333,1.8333333333333333,2.6666666666666665,-1.0,-2.3333333333333335,12.166666666666666,10.166666666666666,3.5,2.5,17.0,16.166666666666668,5.5,5.666666666666667,0,0,1,0,0.6666666666666666,0.0,1.3333333333333333,2.6666666666666665,14.666666666666666,7.0,13.0,19.0,3.0,1.0,4.333333333333333,5.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.5081967213114753,1.1147540983606556
Chelsea,Southampton,3,1,2.1666666666666665,0.6666666666666666,9,3,16,-13,0.6666666666666666,0.0,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,1.1666666666666667,1.6666666666666667,-0.5,13.0,12.5,4.666666666666667,3.8333333333333335,12.5,12.5,3.8333333333333335,3.6666666666666665,3,1,13,4,2.0,1.0,0.3333333333333333,1.6666666666666667,10.0,12.666666666666666,12.333333333333334,14.0,3.3333333333333335,3.6666666666666665,3.6666666666666665,4.0,2.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.4838709677419355,1.096774193548387
Leeds,Watford,1,0,0.5,1.1666666666666667,-4,18,12,6,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,1.5,-1.3333333333333333,-0.3333333333333333,14.166666666666666,10.833333333333334,4.5,4.0,18.666666666666668,14.166666666666666,7.0,4.833333333333333,1,3,3,6,1.0,1.0,2.3333333333333335,1.3333333333333333,13.666666666666666,10.333333333333334,22.333333333333332,13.333333333333334,4.333333333333333,3.6666666666666665,8.0,5.333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.507936507936508,1.0952380952380953
