HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Wolves,Aston Villa,0,1,1.7,1.8,-1,10,5,5,0.5,0.6,0.5,0.6,0.3,0.4,1.1,2.1,1.1,1.3,0.0,0.8,12.2,14.8,3.9,5.4,10.7,12.3,3.3,4.4,1,0,8,3,1.2,1.6,1.0,0.4,15.0,10.6,9.4,9.2,4.6,4.2,3.4,2.4,1.6,1.8,0.4,0.6,0.4,0.0,0.2,0.2,1.4444444444444444,1.5462962962962963
Newcastle,West Brom,2,1,1.4,0.6,8,13,18,-5,0.4,0.1,0.4,0.1,0.4,0.6,1.2,0.7,1.5,1.8,-0.3,-1.1,8.6,9.5,2.8,3.0,15.8,14.9,5.9,6.1,0,0,4,2,1.2,0.6,2.2,2.2,8.4,7.4,15.4,13.0,2.8,2.4,6.0,6.0,1.2,0.2,0.4,0.0,0.0,0.2,0.6,0.8,1.4311926605504588,1.5412844036697249
Man United,Man City,0,0,1.8181818181818181,1.7272727272727273,1,6,8,-2,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.18181818181818182,1.7272727272727273,1.5454545454545454,1.5454545454545454,1.0,0.18181818181818182,0.5454545454545454,13.272727272727273,15.363636363636363,5.0,5.181818181818182,11.454545454545455,8.272727272727273,3.727272727272727,2.727272727272727,3,3,12,10,0.5454545454545454,1.0909090909090908,1.8181818181818181,0.9090909090909091,10.363636363636363,16.181818181818183,10.181818181818182,6.7272727272727275,3.4545454545454546,5.636363636363637,3.272727272727273,2.3636363636363638,0.7272727272727273,1.4545454545454546,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.18181818181818182,1.4363636363636363,1.5363636363636364
Everton,Chelsea,1,0,1.5454545454545454,2.0,-5,10,3,7,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.09090909090909091,1.8181818181818181,2.272727272727273,1.6363636363636365,1.0,0.18181818181818182,1.2727272727272727,11.727272727272727,14.090909090909092,5.0,5.909090909090909,12.454545454545455,9.363636363636363,4.7272727272727275,2.727272727272727,0,1,3,11,2.1818181818181817,2.0,1.8181818181818181,0.7272727272727273,11.090909090909092,12.0,13.636363636363637,8.909090909090908,4.909090909090909,5.090909090909091,4.909090909090909,2.0,1.2727272727272727,2.0,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,1.4234234234234233,1.5225225225225225
Southampton,Sheffield United,3,0,1.8181818181818181,0.09090909090909091,19,5,20,-15,0.5454545454545454,0.0,0.5454545454545454,0.0,0.2727272727272727,0.9090909090909091,1.9090909090909092,0.45454545454545453,1.5454545454545454,1.6363636363636365,0.36363636363636365,-1.1818181818181819,10.636363636363637,9.181818181818182,4.909090909090909,2.909090909090909,10.545454545454545,15.0,4.636363636363637,5.545454545454546,0,0,10,0,1.8181818181818181,0.5454545454545454,1.4545454545454546,1.8181818181818181,11.636363636363637,9.090909090909092,7.090909090909091,14.181818181818182,6.0,2.3636363636363638,3.272727272727273,4.909090909090909,1.6363636363636365,0.0,0.5454545454545454,0.0,0.0,0.0,0.36363636363636365,0.9090909090909091,1.4196428571428572,1.5089285714285714
Crystal Palace,Tottenham,1,1,1.4545454545454546,2.1818181818181817,-8,13,1,12,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.09090909090909091,1.5454545454545454,2.090909090909091,1.4545454545454546,0.8181818181818182,0.09090909090909091,1.2727272727272727,10.181818181818182,11.454545454545455,3.8181818181818183,4.909090909090909,12.909090909090908,11.818181818181818,4.454545454545454,3.272727272727273,0,1,6,13,1.2727272727272727,2.3636363636363638,1.0909090909090908,0.5454545454545454,6.545454545454546,11.636363636363637,11.272727272727273,10.363636363636363,2.5454545454545454,4.181818181818182,4.181818181818182,3.272727272727273,1.2727272727272727,2.3636363636363638,0.36363636363636365,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,1.4336283185840708,1.4955752212389382
Fulham,Liverpool,1,1,0.6363636363636364,2.1818181818181817,-17,18,2,16,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.7272727272727273,0.09090909090909091,1.0,2.3636363636363638,1.9090909090909092,1.5454545454545454,-0.9090909090909091,0.8181818181818182,12.0,15.818181818181818,3.909090909090909,6.363636363636363,12.727272727272727,9.0,5.7272727272727275,3.8181818181818183,3,1,6,11,0.9090909090909091,1.4545454545454546,2.0,2.0,11.636363636363637,12.727272727272727,10.545454545454545,9.454545454545455,3.6363636363636362,4.909090909090909,5.2727272727272725,4.363636363636363,0.5454545454545454,1.0909090909090908,0.18181818181818182,0.18181818181818182,0.0,0.5454545454545454,0.7272727272727273,0.18181818181818182,1.4298245614035088,1.4912280701754386
Arsenal,Burnley,0,1,1.1818181818181819,0.8181818181818182,4,15,17,-2,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.9090909090909091,0.5454545454545454,1.2727272727272727,1.6363636363636365,-0.36363636363636365,-1.0909090909090908,9.636363636363637,9.181818181818182,3.090909090909091,2.6363636363636362,11.818181818181818,13.545454545454545,3.8181818181818183,5.090909090909091,0,1,4,5,0.9090909090909091,0.5454545454545454,1.4545454545454546,2.1818181818181817,9.272727272727273,8.181818181818182,9.454545454545455,13.636363636363637,2.909090909090909,2.5454545454545454,3.272727272727273,4.7272727272727275,1.0909090909090908,0.36363636363636365,0.36363636363636365,0.0,0.0,0.36363636363636365,0.5454545454545454,0.5454545454545454,1.4260869565217391,1.4869565217391305
Leicester,Brighton,3,0,1.9090909090909092,0.9090909090909091,11,4,16,-12,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.45454545454545453,1.9090909090909092,1.3636363636363635,1.3636363636363635,1.6363636363636365,0.5454545454545454,-0.2727272727272727,10.454545454545455,12.272727272727273,4.454545454545454,3.4545454545454546,11.909090909090908,8.0,4.545454545454546,2.8181818181818183,0,1,9,6,1.0909090909090908,1.6363636363636365,1.4545454545454546,1.4545454545454546,10.0,10.363636363636363,10.363636363636363,7.636363636363637,3.090909090909091,3.090909090909091,4.0,2.5454545454545454,1.0909090909090908,1.2727272727272727,0.36363636363636365,0.36363636363636365,0.0,0.18181818181818182,0.5454545454545454,0.36363636363636365,1.4137931034482758,1.4827586206896552
Wolves,Chelsea,2,1,1.5454545454545454,2.0,-5,12,3,9,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.09090909090909091,1.0,2.272727272727273,1.3636363636363635,1.0,-0.36363636363636365,1.2727272727272727,11.909090909090908,14.090909090909092,3.8181818181818183,5.909090909090909,10.727272727272727,9.363636363636363,3.5454545454545454,2.727272727272727,3,1,8,11,1.0909090909090908,2.0,1.0909090909090908,0.9090909090909091,16.545454545454547,13.818181818181818,10.909090909090908,10.545454545454545,5.454545454545454,5.636363636363637,3.4545454545454546,2.727272727272727,1.4545454545454546,2.0,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182,1.4273504273504274,1.4700854700854702
