HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Brighton,Tottenham,1,2,1.0,1.8,-4,14,6,8,0.2,0.6,0.2,0.6,0.4,0.4,1.4,2.0,1.8,1.2,-0.4,0.8,9.0,14.2,2.8,5.2,14.8,14.4,5.2,4.6,1,0,4,9,2.0,2.4,1.6,1.2,8.4,14.0,7.6,18.0,3.2,4.8,3.2,4.0,1.6,2.4,0.4,0.8,0.4,0.0,0.0,0.4,1.58,1.4
Burnley,Bournemouth,4,0,0.2,2.0,-9,20,5,15,0.0,0.6,0.0,0.6,0.8,0.2,0.6,2.0,2.0,1.4,-1.4,0.6,10.4,11.8,3.0,4.0,20.6,14.0,7.4,4.6,0,0,1,7,0.4,0.8,2.0,1.2,6.8,8.0,12.0,14.0,2.0,2.4,6.0,4.4,0.0,1.2,0.0,0.4,0.0,0.0,0.8,0.4,1.5686274509803921,1.411764705882353
Cardiff,Man City,0,5,0.4,2.6,-11,17,3,14,0.0,0.8,0.0,0.8,0.6,0.0,0.6,2.8,1.8,0.6,-1.2,2.2,11.2,23.8,2.2,9.0,12.8,7.4,5.8,2.2,0,3,2,10,0.8,1.2,1.2,0.4,10.4,14.0,11.6,8.0,1.6,5.6,6.8,2.0,0.4,1.6,0.0,0.4,0.4,0.4,0.4,0.0,1.6153846153846154,1.3846153846153846
Crystal Palace,Newcastle,0,0,1.2,0.2,5,12,19,-7,0.4,0.0,0.4,0.0,0.6,0.8,0.8,0.8,1.2,1.6,-0.4,-0.8,10.8,8.0,4.4,2.8,15.6,15.6,5.0,3.8,0,0,3,1,0.0,0.4,1.6,0.8,11.2,6.0,14.0,14.4,3.2,3.2,4.8,3.6,0.0,0.4,0.0,0.0,0.0,0.4,0.8,0.4,1.5849056603773586,1.4528301886792452
Fulham,Watford,1,1,0.8,2.4,-8,15,4,11,0.2,0.8,0.2,0.8,0.6,0.2,1.4,2.0,2.4,1.0,-1.0,1.0,13.8,12.4,5.8,4.8,18.0,8.6,7.2,2.8,1,3,4,12,1.6,1.2,1.6,0.4,16.0,3.6,8.8,3.2,7.2,2.4,4.4,1.2,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.0,1.5555555555555556,1.4259259259259258
Leicester,Huddersfield,3,1,1.2,0.4,4,11,18,-7,0.4,0.0,0.4,0.0,0.6,0.6,1.6,0.4,1.8,2.2,-0.2,-1.8,10.6,8.0,4.8,2.2,10.0,15.4,4.6,5.0,0,1,6,2,1.2,0.8,0.8,2.8,7.2,5.6,8.4,17.2,2.8,2.8,2.8,6.0,1.2,0.4,0.4,0.0,0.0,0.4,0.4,0.4,1.5454545454545454,1.4181818181818182
Liverpool,Southampton,3,0,3.0,1.0,10,2,13,-11,1.0,0.2,1.0,0.2,0.0,0.4,2.2,1.2,0.4,1.2,1.8,0.0,16.6,15.4,7.2,4.6,8.4,13.8,2.8,5.6,3,3,12,4,2.0,1.2,0.0,0.8,16.0,13.6,4.4,13.2,6.4,4.0,1.6,5.2,2.4,1.2,0.8,0.4,0.0,0.0,0.0,0.4,1.5714285714285714,1.4107142857142858
Man United,Wolves,1,1,1.8,1.6,1,8,9,-1,0.6,0.4,0.6,0.4,0.4,0.2,1.6,1.0,1.6,1.0,0.0,0.0,14.0,15.6,5.8,4.4,10.2,10.0,3.8,3.6,3,3,6,5,0.8,0.4,1.6,0.8,12.4,10.4,8.8,7.6,4.4,3.6,3.6,2.0,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.5964912280701755,1.3859649122807018
Arsenal,Everton,2,0,1.8,1.2,3,7,10,-3,0.6,0.2,0.6,0.2,0.4,0.2,2.0,1.6,1.8,1.8,0.2,-0.2,14.0,11.4,6.4,4.0,14.4,12.2,5.8,4.6,3,1,6,6,1.2,1.6,1.2,1.6,10.4,6.8,12.0,11.2,5.2,3.2,5.2,3.6,1.2,0.8,0.4,0.0,0.0,0.8,0.4,0.0,1.5862068965517242,1.3793103448275863
West Ham,Chelsea,0,0,0.6,3.0,-12,16,1,15,0.2,1.0,0.2,1.0,0.8,0.0,1.0,2.8,2.2,0.8,-1.2,2.0,10.2,18.8,3.8,6.2,15.6,8.2,6.6,2.4,0,3,0,12,0.4,2.0,1.2,0.4,9.6,11.2,10.8,4.8,3.2,2.8,4.4,1.2,0.0,2.4,0.0,0.8,0.0,0.0,0.8,0.0,1.5932203389830508,1.3559322033898304
