HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Aston Villa,West Brom,0,1,0.8,1.0,-1,15,14,1,0.2,0.2,0.2,0.2,0.6,0.4,1.2,0.6,1.6,1.2,-0.4,-0.6,11.0,10.6,3.2,2.8,12.8,15.4,3.8,5.2,1,3,4,4,0.8,0.4,1.2,0.0,10.4,8.4,6.4,11.6,2.8,2.0,2.0,4.0,0.4,1.6,0.0,0.4,0.4,0.4,0.4,0.0,1.22,1.24
Bournemouth,Sunderland,2,0,0.8,0.4,2,16,19,-3,0.2,0.0,0.2,0.0,0.6,0.6,1.2,1.2,1.8,2.2,-0.6,-1.0,10.2,9.0,3.0,2.8,10.2,18.8,3.0,6.6,1,1,4,2,0.4,1.6,0.8,2.4,6.4,6.8,4.4,16.0,1.6,3.2,2.0,5.6,0.4,0.4,0.0,0.0,0.4,0.4,0.4,0.4,1.196078431372549,1.2352941176470589
Chelsea,Arsenal,2,0,0.8,2.0,-6,17,4,13,0.2,0.6,0.2,0.6,0.6,0.2,1.4,1.0,2.4,0.6,-1.0,0.4,15.4,22.4,4.4,7.8,15.6,8.8,7.8,4.0,0,3,4,7,1.2,1.2,1.6,0.4,14.8,16.8,12.4,4.8,4.8,6.4,6.4,1.6,0.4,2.4,0.0,0.8,0.4,0.0,0.4,0.0,1.2115384615384615,1.2115384615384615
Man City,West Ham,1,2,3.0,1.8,6,1,5,-4,1.0,0.6,1.0,0.6,0.0,0.4,2.2,2.2,0.0,1.2,2.2,1.0,18.4,11.4,7.2,3.8,9.2,15.0,1.6,4.8,3,3,12,6,2.0,2.0,0.0,0.0,14.4,8.0,6.8,14.0,5.2,3.6,1.2,2.8,2.4,2.4,0.8,0.8,0.0,0.0,0.0,0.0,1.2264150943396226,1.1886792452830188
Newcastle,Watford,1,2,0.4,1.2,-4,20,13,7,0.0,0.2,0.0,0.2,0.6,0.2,0.4,0.6,1.4,0.8,-1.0,-0.2,7.0,12.8,2.0,3.2,18.6,11.2,6.2,3.6,0,0,2,3,0.8,0.8,1.2,1.6,4.0,7.2,14.8,11.2,1.6,2.0,5.6,4.0,0.4,0.4,0.0,0.0,0.4,0.4,0.4,0.4,1.2222222222222223,1.2037037037037037
Stoke,Leicester,2,2,0.4,2.2,-9,18,2,16,0.0,0.6,0.0,0.6,0.6,0.0,0.6,2.2,1.4,1.4,-0.8,0.8,10.2,13.6,3.6,4.8,17.2,11.0,6.8,4.0,0,1,2,8,0.0,1.2,0.8,0.8,8.0,6.0,9.2,6.0,2.4,3.2,3.2,2.0,0.0,1.6,0.0,0.4,0.0,0.4,0.8,0.0,1.2181818181818183,1.2181818181818183
Swansea,Everton,0,0,1.6,1.6,0,8,7,1,0.4,0.4,0.4,0.4,0.2,0.2,1.4,1.6,1.0,1.0,0.4,0.6,14.8,10.4,6.4,4.4,10.6,15.8,3.4,5.2,3,1,8,5,1.6,1.2,0.4,0.0,11.2,7.2,6.0,14.8,4.0,2.8,2.4,4.0,2.4,1.6,0.8,0.4,0.0,0.4,0.0,0.0,1.2321428571428572,1.2321428571428572
Liverpool,Norwich,1,1,1.4,1.4,0,10,9,1,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.6,1.2,1.8,-0.6,-0.2,12.4,15.0,3.6,4.8,12.0,10.6,3.2,4.0,0,0,7,4,0.4,1.2,1.2,1.6,12.4,10.0,10.0,11.6,1.2,2.8,2.8,4.0,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.2105263157894737,1.2105263157894737
Southampton,Man United,2,3,1.2,2.0,-4,11,3,8,0.2,0.6,0.2,0.6,0.2,0.2,1.0,1.2,1.0,0.6,0.0,0.6,16.6,11.6,5.2,3.6,9.2,7.6,2.0,2.6,3,0,5,7,1.2,0.8,1.2,0.8,16.0,8.0,6.4,5.6,4.8,2.4,2.0,2.0,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.206896551724138,1.206896551724138
Tottenham,Crystal Palace,1,0,1.2,1.8,-3,12,6,6,0.2,0.6,0.2,0.6,0.2,0.4,0.8,1.6,0.8,1.2,0.0,0.4,15.2,12.2,5.4,5.0,11.6,19.0,3.0,6.2,1,3,3,9,0.8,2.0,0.8,0.8,13.2,9.6,9.6,17.2,5.2,5.2,4.0,6.0,0.8,2.4,0.0,0.8,0.8,0.0,0.0,0.0,1.2203389830508475,1.2372881355932204
Leicester,Arsenal,2,5,2.0,1.6666666666666667,2,4,5,-1,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,2.1666666666666665,0.8333333333333334,1.5,0.8333333333333334,0.6666666666666666,0.0,13.333333333333334,20.166666666666668,4.833333333333333,6.833333333333333,11.0,11.0,4.0,4.5,3,3,11,10,2.6666666666666665,1.0,1.6666666666666667,1.0,17.666666666666668,17.0,13.333333333333334,11.333333333333334,5.333333333333333,6.0,5.0,3.6666666666666665,2.3333333333333335,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,1.2166666666666666,1.2166666666666666
Liverpool,Aston Villa,3,2,1.3333333333333333,0.6666666666666666,4,13,17,-4,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.1666666666666667,1.5,-0.5,-0.5,14.166666666666666,11.333333333333334,4.166666666666667,3.1666666666666665,11.166666666666666,12.5,3.0,4.166666666666667,0,0,7,4,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,18.0,9.666666666666666,10.666666666666666,16.0,3.3333333333333335,3.0,3.0,4.666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.2295081967213115,1.278688524590164
Man United,Sunderland,3,0,2.1666666666666665,0.3333333333333333,11,2,20,-18,0.6666666666666666,0.0,0.6666666666666666,0.0,0.16666666666666666,0.6666666666666666,1.5,1.0,0.8333333333333334,2.1666666666666665,0.6666666666666666,-1.1666666666666667,11.333333333333334,9.0,3.5,2.6666666666666665,8.833333333333334,18.166666666666668,3.5,6.333333333333333,3,0,10,2,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,12.666666666666666,8.666666666666666,8.0,18.333333333333332,4.0,3.3333333333333335,2.6666666666666665,6.333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.2580645161290323,1.2903225806451613
Newcastle,Chelsea,2,2,0.3333333333333333,1.1666666666666667,-5,19,15,4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,1.5,1.5,2.0,-1.0,-0.5,8.333333333333334,16.5,2.5,4.833333333333333,17.666666666666668,14.5,5.833333333333333,6.833333333333333,0,0,2,4,1.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,8.333333333333334,13.333333333333334,16.666666666666668,15.666666666666666,3.0,3.3333333333333335,6.0,7.666666666666667,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.2857142857142858,1.2698412698412698
Southampton,Swansea,3,1,1.0,1.5,-3,16,7,9,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.1666666666666667,1.1666666666666667,1.3333333333333333,0.8333333333333334,-0.16666666666666666,0.3333333333333333,16.333333333333332,14.333333333333334,5.666666666666667,5.833333333333333,9.333333333333334,11.666666666666666,2.1666666666666665,3.1666666666666665,1,0,6,8,1.6666666666666667,1.0,2.0,1.3333333333333333,18.333333333333332,15.333333333333334,8.666666666666666,12.666666666666666,6.666666666666667,7.333333333333333,2.6666666666666665,3.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.296875,1.28125
Stoke,Bournemouth,2,1,0.5,1.1666666666666667,-4,18,14,4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.8333333333333334,1.3333333333333333,1.5,1.5,-0.6666666666666666,-0.16666666666666666,10.333333333333334,11.0,3.6666666666666665,3.3333333333333335,16.333333333333332,10.0,6.5,2.8333333333333335,0,0,2,4,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,10.333333333333334,11.666666666666666,11.666666666666666,13.333333333333334,3.3333333333333335,3.6666666666666665,4.333333333333333,3.3333333333333335,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.323076923076923,1.2769230769230768
Tottenham,Man City,4,1,1.5,2.5,-6,9,1,8,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334,2.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.6666666666666667,16.333333333333332,19.833333333333332,5.5,7.333333333333333,11.666666666666666,8.666666666666666,3.1666666666666665,1.8333333333333333,3,3,6,15,1.0,2.0,0.6666666666666666,0.0,18.333333333333332,18.666666666666668,12.0,9.666666666666666,6.333333333333333,7.666666666666667,4.666666666666667,1.6666666666666667,1.6666666666666667,3.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,1.2727272727272727
