HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Southampton,Bournemouth,1,3,1.4,1.4,0,10,9,1,0.4,0.4,0.4,0.4,0.4,0.4,1.0,1.6,1.2,1.8,-0.2,-0.2,11.6,11.2,3.8,4.4,15.0,15.2,5.0,5.0,1,0,4,4,0.8,1.2,1.2,1.6,9.6,8.0,14.4,14.0,2.0,2.4,5.6,4.8,0.4,1.2,0.0,0.4,0.4,0.0,0.4,0.4,1.58,1.32
Leicester,Tottenham,2,1,1.6,1.6,0,5,3,2,0.4,0.4,0.4,0.4,0.2,0.2,1.2,2.2,0.8,1.2,0.4,1.0,11.8,15.4,2.8,5.0,9.6,16.4,3.4,6.2,3,1,8,5,1.2,1.6,0.4,1.6,11.2,6.4,6.4,22.4,2.4,4.4,1.6,7.2,1.6,0.8,0.4,0.0,0.4,0.8,0.0,0.0,1.5686274509803921,1.3529411764705883
Burnley,Norwich,2,0,1.0,1.2,-1,14,13,1,0.2,0.4,0.2,0.4,0.4,0.6,1.2,1.8,1.4,2.4,-0.2,-0.6,11.0,9.6,3.2,4.8,14.6,18.2,5.2,6.8,0,0,4,3,1.2,0.4,1.2,2.4,6.8,8.0,10.4,13.2,2.4,3.2,4.0,6.0,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.5769230769230769,1.3461538461538463
Everton,Sheffield United,0,2,1.4,1.0,2,11,15,-4,0.4,0.2,0.4,0.2,0.4,0.4,1.0,1.0,1.4,1.2,-0.4,-0.2,12.6,11.2,3.4,3.0,8.4,10.6,3.6,4.2,3,1,7,5,1.6,1.2,0.8,1.2,10.8,6.4,6.4,10.4,3.2,2.0,2.8,3.2,2.4,0.8,0.8,0.0,0.0,0.8,0.0,0.0,1.5849056603773586,1.320754716981132
Man City,Watford,8,0,2.0,0.4,8,2,20,-18,0.6,0.0,0.6,0.0,0.2,0.6,3.2,0.8,1.2,2.0,2.0,-1.2,20.6,17.2,7.6,3.6,6.2,11.2,3.4,4.8,3,1,10,1,2.4,0.4,0.8,0.8,18.0,8.4,3.6,10.0,6.4,2.0,1.6,2.8,1.6,0.4,0.4,0.0,0.4,0.4,0.0,0.4,1.5555555555555556,1.3333333333333333
Newcastle,Brighton,0,0,0.8,1.0,-1,18,16,2,0.2,0.2,0.2,0.2,0.6,0.4,0.8,1.0,1.6,1.6,-0.8,-0.6,9.6,10.6,2.8,3.4,14.8,10.6,4.8,3.4,1,0,4,4,0.4,1.2,0.8,1.6,8.8,4.4,8.4,10.4,2.8,2.0,2.0,3.6,0.4,1.2,0.0,0.4,0.4,0.0,0.4,0.4,1.6727272727272726,1.309090909090909
Crystal Palace,Wolves,1,1,1.4,0.6,4,12,19,-7,0.4,0.0,0.4,0.0,0.4,0.4,0.6,1.2,1.2,2.0,-0.6,-0.8,10.0,10.0,4.0,3.0,14.0,13.4,3.2,3.8,3,0,7,3,0.4,0.8,0.0,1.2,11.2,6.4,8.0,12.0,2.8,2.8,2.0,2.8,1.6,0.4,0.4,0.0,0.4,0.4,0.0,0.4,1.6428571428571428,1.2857142857142858
West Ham,Man United,2,0,1.6,1.6,0,8,4,4,0.4,0.4,0.4,0.4,0.2,0.2,1.2,1.6,1.4,0.8,-0.2,0.8,12.0,14.6,5.0,4.6,14.2,9.6,4.8,3.4,3,1,7,5,0.8,0.8,2.0,0.8,9.2,12.0,8.8,6.4,4.4,4.0,4.8,1.6,1.2,0.8,0.4,0.0,0.0,0.8,0.4,0.0,1.631578947368421,1.280701754385965
Arsenal,Aston Villa,3,2,1.6,0.8,4,7,17,-10,0.4,0.2,0.4,0.2,0.2,0.6,1.6,0.8,1.6,1.2,0.0,-0.4,13.8,11.2,5.2,4.2,19.2,18.0,5.6,3.6,1,0,7,3,1.6,0.4,1.2,1.6,16.8,6.8,12.4,21.2,6.8,2.4,5.6,4.8,1.6,0.0,0.4,0.0,0.4,0.0,0.0,0.8,1.6379310344827587,1.2586206896551724
Chelsea,Liverpool,1,2,1.6,3.0,-7,6,1,5,0.4,1.0,0.4,1.0,0.2,0.0,2.2,3.0,2.2,0.8,0.0,2.2,16.6,18.2,6.2,6.8,9.6,10.0,3.8,2.8,1,3,5,12,1.2,2.0,1.2,0.4,10.8,12.0,8.0,8.4,4.0,5.2,2.0,2.0,0.8,2.4,0.0,0.8,0.8,0.0,0.0,0.0,1.6610169491525424,1.271186440677966
