HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Luton,Wolves,1,1,0.2,0.6,-2,19,16,3,0.0,0.2,0.0,0.2,0.8,0.8,0.6,1.0,2.2,2.2,-1.6,-1.2,12.6,14.6,2.2,3.8,14.2,15.6,5.6,7.0,0,0,0,3,0.4,1.2,0.8,1.6,6.4,18.4,3.6,18.4,0.4,4.8,1.2,8.4,0.0,1.2,0.0,0.4,0.0,0.0,0.4,0.8,1.6,1.42
Man City,Nott'm Forest,2,0,3.0,1.4,8,1,8,-7,1.0,0.4,1.0,0.4,0.0,0.4,2.8,1.4,0.6,1.4,2.2,0.0,19.4,10.4,8.2,3.4,6.2,14.2,2.2,4.8,3,3,12,6,2.4,1.6,0.4,2.0,8.4,8.8,5.2,21.6,3.6,3.6,2.0,7.2,2.4,1.2,0.8,0.4,0.0,0.0,0.0,0.8,1.588235294117647,1.411764705882353
Brentford,Everton,1,3,1.2,0.2,5,11,18,-7,0.2,0.0,0.2,0.0,0.2,0.8,1.6,0.4,1.2,1.8,0.4,-1.4,14.4,13.4,4.8,5.0,12.8,11.8,4.0,4.6,1,1,6,1,2.0,0.8,2.0,2.4,17.6,10.0,18.0,10.4,5.6,3.2,6.4,6.0,1.2,0.4,0.0,0.0,1.2,0.4,0.0,0.4,1.5961538461538463,1.3846153846153846
Burnley,Man United,0,1,0.2,1.2,-5,20,13,7,0.0,0.4,0.0,0.4,0.8,0.6,0.8,1.2,2.6,2.0,-1.8,-0.8,10.6,15.8,2.8,4.8,15.6,15.2,6.4,5.8,1,0,1,6,1.2,0.4,4.4,2.0,12.4,12.8,21.2,13.6,2.8,3.2,9.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,1.5849056603773586,1.4150943396226414
Arsenal,Tottenham,2,2,2.6,2.6,0,4,2,2,0.8,0.8,0.8,0.8,0.0,0.0,1.8,2.6,0.8,1.0,1.0,1.6,15.6,20.0,6.0,7.6,9.2,13.4,2.0,4.8,3,3,10,10,2.8,3.6,1.6,1.6,20.4,22.0,9.6,15.2,9.2,8.8,2.8,5.2,2.8,2.8,0.8,0.8,0.4,0.4,0.0,0.0,1.5555555555555556,1.4074074074074074
Brighton,Bournemouth,3,1,2.4,0.6,9,5,15,-10,0.8,0.0,0.8,0.0,0.2,0.4,3.0,0.8,1.4,1.6,1.6,-0.8,18.6,12.6,8.8,4.4,12.0,18.8,3.4,6.4,3,1,9,2,3.2,1.2,2.0,2.0,26.8,10.0,12.0,18.8,11.2,4.0,3.2,6.8,2.4,0.4,0.8,0.0,0.0,0.4,0.4,0.4,1.5636363636363637,1.4181818181818182
Chelsea,Aston Villa,0,1,1.0,1.8,-4,14,7,7,0.2,0.6,0.2,0.6,0.4,0.4,1.0,2.2,1.0,2.0,0.0,0.2,16.2,14.0,4.8,5.4,11.2,11.6,3.0,4.8,0,0,4,6,1.6,1.6,0.8,3.6,20.0,16.4,12.4,17.2,5.6,6.0,2.0,7.6,1.6,1.2,0.4,0.4,0.4,0.0,0.4,0.8,1.5892857142857142,1.4107142857142858
Liverpool,West Ham,3,1,2.6,2.0,3,3,6,-3,0.8,0.6,0.8,0.6,0.0,0.2,2.4,2.0,0.8,1.4,1.6,0.6,16.2,11.0,5.0,3.6,13.2,20.2,4.4,7.0,3,3,10,10,2.4,2.4,0.4,1.2,17.2,14.8,8.8,22.0,5.6,3.6,3.2,6.4,2.4,2.8,0.8,0.8,0.0,0.4,0.0,0.0,1.5614035087719298,1.4035087719298245
Sheffield United,Newcastle,0,8,0.2,1.2,-5,17,12,5,0.0,0.4,0.0,0.4,0.8,0.6,1.0,1.6,1.8,1.4,-0.8,0.2,8.2,13.0,3.8,5.2,22.8,13.0,7.4,4.4,1,0,1,3,1.2,0.4,2.0,1.6,10.8,6.4,28.0,11.6,4.4,1.2,9.2,4.0,0.4,0.0,0.0,0.0,0.4,0.0,0.8,0.8,1.5862068965517242,1.396551724137931
Aston Villa,Brighton,6,1,1.8,2.4,-3,7,5,2,0.6,0.8,0.6,0.8,0.4,0.2,2.2,3.0,2.0,1.4,0.2,1.6,14.0,18.6,5.4,8.8,11.6,12.0,4.8,3.4,0,3,6,9,2.8,2.8,0.4,0.8,11.6,10.4,6.0,12.0,4.8,6.4,2.0,3.6,2.4,2.4,0.8,0.8,0.0,0.0,0.0,0.0,1.5593220338983051,1.5084745762711864
Bournemouth,Arsenal,0,4,0.5,2.3333333333333335,-11,18,5,13,0.0,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.8333333333333334,1.8333333333333333,1.8333333333333333,1.0,-1.0,0.8333333333333334,12.5,15.166666666666666,4.333333333333333,6.0,17.833333333333332,9.833333333333334,6.0,2.5,1,3,3,13,0.3333333333333333,0.6666666666666666,1.0,0.0,12.666666666666666,9.0,15.666666666666666,7.333333333333333,4.0,2.3333333333333335,5.0,1.0,0.6666666666666666,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.6333333333333333,1.5
Everton,Luton,1,2,0.6666666666666666,0.6666666666666666,0,15,17,-2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.6666666666666667,2.0,-0.8333333333333334,-1.1666666666666667,14.166666666666666,12.0,5.166666666666667,2.1666666666666665,11.833333333333334,15.666666666666666,4.166666666666667,5.5,0,1,1,1,0.0,0.3333333333333333,1.0,2.6666666666666665,14.0,9.0,11.0,19.666666666666668,5.666666666666667,2.0,2.6666666666666665,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6065573770491803,1.540983606557377
Man United,Crystal Palace,0,1,1.5,1.3333333333333333,1,9,10,-1,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,1.1666666666666667,1.0,1.6666666666666667,1.1666666666666667,-0.5,-0.16666666666666666,15.0,13.666666666666666,4.666666666666667,5.333333333333333,14.666666666666666,12.0,5.5,3.1666666666666665,0,0,6,7,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,15.666666666666666,15.0,14.0,12.0,5.333333333333333,5.333333333333333,6.0,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.596774193548387,1.5483870967741935
Newcastle,Burnley,2,0,1.5,0.16666666666666666,8,8,19,-11,0.5,0.0,0.5,0.0,0.5,0.8333333333333334,2.6666666666666665,0.6666666666666666,1.1666666666666667,2.5,1.5,-1.8333333333333333,14.5,10.166666666666666,6.833333333333333,2.6666666666666665,12.333333333333334,16.333333333333332,3.8333333333333335,6.666666666666667,3,0,6,1,2.3333333333333335,0.3333333333333333,1.0,0.3333333333333333,16.333333333333332,3.3333333333333335,12.0,4.666666666666667,7.666666666666667,1.0,4.0,1.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.5714285714285714,1.5396825396825398
West Ham,Sheffield United,2,0,1.6666666666666667,0.16666666666666666,9,7,20,-13,0.5,0.0,0.5,0.0,0.3333333333333333,0.8333333333333334,1.8333333333333333,0.8333333333333334,1.6666666666666667,2.8333333333333335,0.16666666666666666,-2.0,11.0,8.333333333333334,3.6666666666666665,3.3333333333333335,20.5,22.666666666666668,7.0,8.666666666666666,0,0,10,1,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,6.0,4.666666666666667,15.333333333333334,14.666666666666666,3.0,2.6666666666666665,6.333333333333333,4.666666666666667,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.578125,1.515625
Wolves,Man City,2,1,0.6666666666666666,3.0,-14,16,1,15,0.16666666666666666,1.0,0.16666666666666666,1.0,0.6666666666666666,0.0,1.0,2.6666666666666665,2.0,0.5,-1.0,2.1666666666666665,12.666666666666666,17.333333333333332,3.6666666666666665,7.5,16.333333333333332,6.833333333333333,6.5,2.3333333333333335,0,3,3,15,0.6666666666666666,2.6666666666666665,2.3333333333333335,0.6666666666666666,9.0,25.333333333333332,10.666666666666666,6.0,2.3333333333333335,10.666666666666666,4.666666666666667,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.5846153846153845,1.4923076923076923
