HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Burnley,Huddersfield,0,0,1.6,1.6,0,7,6,1,0.4,0.4,0.4,0.4,0.2,0.2,1.2,1.0,1.0,0.6,0.2,0.4,10.4,11.2,2.8,4.0,22.6,12.4,5.2,3.2,3,0,7,7,0.4,1.2,0.4,0.8,9.6,7.2,12.4,13.2,0.8,3.2,2.4,2.8,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.32,1.12
Everton,Bournemouth,2,1,0.8,0.6,1,18,19,-1,0.2,0.2,0.2,0.2,0.6,0.8,0.4,0.6,2.0,1.8,-1.6,-1.2,8.4,9.2,2.0,2.4,15.4,16.0,5.4,6.4,0,0,4,0,0.4,0.0,1.2,1.6,8.4,6.4,9.6,13.2,2.0,1.6,2.8,6.0,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.2941176470588236,1.0980392156862746
Leicester,Liverpool,2,3,0.8,1.6,-4,15,8,7,0.2,0.4,0.2,0.4,0.6,0.2,1.4,1.8,1.8,1.8,-0.4,0.0,9.8,20.0,2.8,8.0,17.0,7.8,5.6,3.2,0,0,3,7,1.2,1.2,0.8,3.2,8.8,9.6,8.4,8.8,2.4,3.2,3.2,4.4,1.2,0.4,0.4,0.0,0.0,0.4,0.4,0.4,1.3076923076923077,1.0961538461538463
Man City,Crystal Palace,5,0,2.6,0.0,13,1,20,-19,0.8,0.0,0.8,0.0,0.0,1.0,3.2,0.0,0.4,1.6,2.8,-1.6,18.6,14.2,7.0,3.2,7.8,11.0,2.2,5.6,3,0,10,0,2.4,0.0,0.4,0.8,12.8,10.8,6.8,10.8,5.2,2.4,2.0,6.0,1.6,0.0,0.4,0.0,0.4,0.0,0.0,0.8,1.320754716981132,1.1320754716981132
Southampton,Man United,0,1,1.6,2.6,-5,9,2,7,0.4,0.8,0.4,0.8,0.2,0.0,0.8,3.2,0.8,0.4,0.0,2.8,14.2,19.0,3.0,7.2,12.4,8.6,4.0,2.8,0,1,5,10,1.2,2.4,1.6,0.8,20.8,14.0,12.8,6.4,3.2,6.4,4.4,2.4,1.6,1.6,0.4,0.4,0.4,0.4,0.4,0.0,1.3888888888888888,1.1111111111111112
Stoke,Chelsea,0,4,1.0,2.0,-5,13,3,10,0.2,0.6,0.2,0.6,0.4,0.2,1.0,1.6,1.2,1.0,-0.2,0.6,11.8,15.0,3.2,5.0,13.8,10.8,4.6,3.0,1,3,5,9,1.2,1.6,0.8,0.8,8.4,10.0,14.4,10.4,3.6,3.2,5.6,3.2,1.6,2.4,0.4,0.8,0.4,0.0,0.0,0.0,1.3636363636363635,1.1090909090909091
Swansea,Watford,1,2,1.0,1.6,-3,14,11,3,0.2,0.4,0.2,0.4,0.4,0.2,0.4,1.4,1.0,1.8,-0.6,-0.4,6.2,11.0,1.6,3.0,20.8,14.6,5.8,4.0,0,3,4,8,0.0,1.6,2.0,0.0,6.4,12.4,13.2,6.0,2.0,4.0,6.4,1.2,0.0,2.4,0.0,0.8,0.0,0.0,0.8,0.0,1.3392857142857142,1.1607142857142858
West Ham,Tottenham,2,3,0.8,1.6,-4,17,5,12,0.2,0.4,0.2,0.4,0.6,0.2,0.8,1.4,2.0,0.6,-1.2,0.8,12.2,21.0,3.2,6.2,13.6,8.8,4.4,1.8,3,3,3,7,0.8,2.0,0.0,0.0,7.6,13.2,4.0,7.2,1.2,4.8,0.8,1.6,1.2,2.4,0.4,0.8,0.0,0.0,0.0,0.0,1.3333333333333333,1.1754385964912282
Brighton,Newcastle,1,0,0.8,1.8,-5,16,4,12,0.2,0.6,0.2,0.6,0.6,0.4,0.8,1.2,1.4,0.8,-0.6,0.4,9.6,13.0,2.8,5.4,12.6,11.2,2.8,4.0,3,3,4,6,1.2,0.4,1.2,0.4,7.2,11.6,10.4,6.8,3.2,5.2,2.8,2.8,1.2,1.2,0.4,0.4,0.0,0.0,0.4,0.4,1.3448275862068966,1.206896551724138
Arsenal,West Brom,2,0,1.4,1.6,-1,12,10,2,0.4,0.4,0.4,0.4,0.4,0.2,1.4,0.8,1.6,0.8,-0.2,0.0,16.2,10.4,5.4,2.6,11.0,13.2,4.6,2.2,3,0,6,7,2.8,0.8,1.2,1.2,17.6,8.0,5.2,12.8,7.6,1.6,2.0,2.4,2.4,1.2,0.8,0.4,0.0,0.0,0.0,0.4,1.3389830508474576,1.1864406779661016
