HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Everton,Liverpool,0,0,0.6,1.6,-5,17,6,11,0.0,0.4,0.0,0.4,0.4,0.2,0.8,3.0,1.2,1.2,-0.4,1.8,12.6,18.8,5.0,6.2,14.8,7.6,5.0,2.8,1,3,2,5,0.4,1.2,0.8,1.6,10.8,11.2,11.6,8.4,4.8,3.6,4.4,2.8,0.4,0.4,0.0,0.0,0.4,0.4,0.4,0.4,1.78,1.08
Brentford,Leeds,5,2,1.2,1.6,-2,11,7,4,0.2,0.4,0.2,0.4,0.2,0.2,2.0,1.6,1.4,1.0,0.6,0.6,12.4,12.2,4.6,4.4,14.8,12.6,5.8,3.8,1,0,5,7,2.0,0.8,0.4,1.2,12.8,9.2,11.6,10.8,4.8,2.8,4.4,3.2,1.6,0.4,0.4,0.0,0.4,0.4,0.0,0.4,1.7450980392156863,1.0588235294117647
Chelsea,West Ham,2,1,1.4,0.8,3,10,14,-4,0.4,0.2,0.4,0.2,0.4,0.6,1.2,0.4,1.6,1.2,-0.4,-0.8,12.4,11.8,3.8,3.0,11.2,12.0,5.4,3.4,3,3,7,3,1.6,0.4,1.2,0.4,9.2,10.4,10.8,8.8,2.4,2.8,4.0,3.6,1.6,1.2,0.4,0.4,0.4,0.0,0.0,0.4,1.8076923076923077,1.0769230769230769
Newcastle,Crystal Palace,0,0,1.2,1.0,1,12,13,-1,0.2,0.2,0.2,0.2,0.2,0.4,1.4,1.4,1.2,1.8,0.2,-0.4,13.0,9.8,5.0,4.0,14.4,14.8,5.4,3.8,1,0,6,4,2.0,1.2,1.2,2.0,14.0,3.6,10.4,16.8,6.4,2.0,4.0,3.6,1.6,0.4,0.4,0.0,0.4,0.4,0.0,0.4,1.8113207547169812,1.0754716981132075
Nott'm Forest,Bournemouth,2,3,0.8,0.8,0,15,16,-1,0.2,0.2,0.2,0.2,0.6,0.6,0.4,0.4,2.2,3.2,-1.8,-2.8,11.4,5.2,2.6,1.8,19.2,16.8,7.8,6.2,0,0,4,3,0.4,0.0,0.8,5.2,12.0,3.2,14.8,15.2,2.8,1.2,4.8,7.6,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.8,1.7777777777777777,1.0555555555555556
Tottenham,Fulham,2,1,2.2,1.6,3,3,8,-5,0.6,0.4,0.6,0.4,0.0,0.2,2.0,1.6,0.8,1.4,1.2,0.2,14.0,11.4,5.6,4.2,15.4,12.0,2.6,4.4,3,0,10,5,2.0,0.4,0.4,0.8,11.6,8.0,12.0,11.6,4.8,2.4,2.0,3.6,2.4,0.4,0.8,0.0,0.0,0.4,0.0,0.4,1.7818181818181817,1.0909090909090908
Wolves,Southampton,1,0,0.6,1.4,-4,18,9,9,0.0,0.4,0.0,0.4,0.4,0.4,0.4,1.4,0.8,1.8,-0.4,-0.4,13.8,11.8,3.6,4.2,11.6,11.6,3.8,4.8,1,0,2,4,0.4,1.2,0.4,2.0,6.8,7.6,12.0,9.6,2.0,2.0,3.6,3.6,0.8,1.2,0.0,0.4,0.8,0.0,0.0,0.4,1.7857142857142858,1.0892857142857142
Aston Villa,Man City,1,1,0.6,2.6,-10,19,2,17,0.2,0.8,0.2,0.8,0.8,0.0,0.8,3.8,1.8,1.0,-1.0,2.8,10.6,17.8,3.4,6.6,13.6,6.2,5.4,2.2,0,3,3,10,0.8,2.0,0.8,1.2,8.4,14.0,8.8,7.2,2.8,4.8,2.4,2.8,1.2,1.6,0.4,0.4,0.0,0.4,0.4,0.0,1.7719298245614035,1.0701754385964912
Brighton,Leicester,5,2,2.0,0.2,9,4,20,-16,0.6,0.0,0.6,0.0,0.2,0.8,1.2,1.2,0.6,2.2,0.6,-1.0,11.8,10.6,4.2,3.0,10.8,10.4,2.8,3.6,3,0,10,1,0.4,1.2,0.0,2.4,10.4,9.2,5.6,10.4,4.4,2.8,1.2,4.0,1.6,0.0,0.4,0.0,0.4,0.0,0.0,0.8,1.7586206896551724,1.0689655172413792
Man United,Arsenal,3,1,1.8,3.0,-6,5,1,4,0.6,1.0,0.6,1.0,0.4,0.0,1.0,2.6,1.4,0.8,-0.4,1.8,12.8,17.4,4.2,6.4,14.4,7.4,4.6,2.2,3,3,6,12,1.2,2.0,1.2,0.0,11.6,9.6,12.8,6.4,3.6,3.2,3.6,1.2,1.2,2.4,0.4,0.8,0.0,0.0,0.4,0.0,1.8135593220338984,1.0847457627118644
Aston Villa,Southampton,1,0,0.6666666666666666,1.1666666666666667,-3,17,12,5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.8333333333333334,1.1666666666666667,1.6666666666666667,1.6666666666666667,-0.8333333333333334,-0.5,9.333333333333334,11.833333333333334,3.0,3.6666666666666665,13.5,10.833333333333334,5.166666666666667,4.333333333333333,0,3,3,7,1.0,1.0,1.0,2.0,8.0,10.333333333333334,11.666666666666666,10.333333333333334,2.6666666666666665,2.0,3.3333333333333335,3.6666666666666665,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.8333333333333333,1.0833333333333333
Nott'm Forest,Fulham,2,3,0.6666666666666666,1.3333333333333333,-4,19,10,9,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.5,2.3333333333333335,1.5,-1.6666666666666667,0.0,11.333333333333334,11.0,2.6666666666666665,4.0,17.333333333333332,13.833333333333334,7.0,5.333333333333333,0,3,4,8,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,13.666666666666666,9.666666666666666,15.0,17.333333333333332,3.3333333333333335,3.0,5.0,6.333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.819672131147541,1.0655737704918034
